original_text,cleaned_text,Topic
"A SOBERING WORD TO THE SEVEN MOUNTAINS….; https:// www.hiskingdompr ophecy.com/ a-word-to-the-se ven-mountains/  I heard the Spirit say,…”WATCH FOR I WILL HAVE THE NATIONS OF THE EARTH STAND NAKED BEFORE ME,..YES NAKED!..AND FULLY EXPOSED THE NATIONS OF THE EARTH SHALL STAND BEFORE MY HOLY PRESENCE,…WATCH FOR THE MIGHTY WINDS OF THE WHIRLWIND OF MY SEVEN SPIRITS SHALL BLOW FORTH UPON THE SEVEN MOUNTAINS,…FROM THE NORTH SOUTH, EAST AND WEST THE WINDS OF MY SEVEN SPIRITS SHALL BLOW FORTH UPON THE SEVEN MOUNTAINS TO STRIP, TO SCATTER, TO SCORCH, TO SIFT, TO SEPARATE AND TO SHIFT,…  LISTEN! FOR I SAY TO THE MOUNTAIN OF GOVERNMENT AND TO THE MILITARY I SHALL STRIP OFF YOUR FILTHY AND STINKING GARMENTS OF CORRUPTION AND PERVERSION,..AN D I SHALL SUDDENLY REMOVE YOU FROM YOUR SELF APPOINTED POSITIONS OF AUTHORITY AND POWER,..AND YOUR BODIES WILL BE STRUCK WITH ILLNESS AND INFIRMITY AND YOUR MINDS WILL BE TORMENTED DAY AND NIGHT,..AND LIKE MAD MEN YOU SHALL BE DRIVEN OUT INTO THE FIELDS TO EAT GRASS LIKE COWS,..AND YOUR SHINING MEDALS OF HONOUR THAT HAVE BEEN GIVEN TO YOU THROUGH LIES AND FALSEHOODS SHALL BE REMOVED AND REVOKED,…  …AND TO THE MOUNTAIN OF MEDIA YOU SHALL BE BROUGHT DOWN LOW,…LOWER THAN ALL THE OTHER MOUNTAINS,..WAT CH FOR YOUR LYING TONGUES SHALL BE CUT OUT OF YOUR MOUTHS AND YOUR SPOKEN WORDS OF DEATH AND DEMONIC DECREES SHALL NOW BE FULLY ESTABLISHED AND A CLOUD OF DESTRUCTION SHALL DARKEN YOUR PATHWAY AND YOUR EYES SHALL BECOME BLIND,..AND YOUR FEET SHALL STUMBLE,..CAUSI NG YOU TO FALL INTO A DEEP PIT OF DESPAIR,…  …AND TO THE MOUNTAIN OF RELIGION...HAVE I NOT SAID THAT JUDGEMENT STARTS IN THE HOUSE OF THE LORD,..WATCH AS MY SEVEN SPIRIT WINDS BLOWS FORTH TO SIFT THE WHEAT FROM THE CHAFF,..TO EXPOSE AND REVEAL THE WOLVES DRESSED IN SHEEPS CLOTHING,..AND TO SEPARATE THE GOATS FROM THE SHEEP,…FOR YOUR MONEY TABLES WILL BE OVERTURNED AND YOUR WORKS OF DECEPTION AND WITCHCRAFT WILL BE UNCOVERED AND LAID BARE BEFORE THE EYES OF MEN,…AND YOU WORKERS OF INIQUITY WHO HAVE DARKENED COUNSEL AND SET YOUR FACES AGAINST MY TRUTH AND MY KNOWLEDGE,…YOU SHALL BE SWIFTLY AND SEVERELY DEALT WITH,…AND TO YOU WHO ARE STIFF NECKED AND REBELLIOUS,…YOU SHALL BE BROKEN TO PIECES BY MY RIGHTEOUS RIGHT HAND,..WATCH FOR I WILL CLEANSE BY THE WATERS OF MY SPIRIT AND PURIFY BY THE FIRES OF MY GLORY,…  …AND TO THE MOUNTAIN OF FAMILY YOU SHALL SEE THE WHIRLWIND OF THE SPIRIT OF ELIJAH COMING TO TURN THE HEARTS OF THE FATHERS BACK TO THE CHILDREN AND THE HEARTS OF THE CHILDREN BACK TO THE FATHERS,..WATCH AS THE RETURN OF THE LONG LOST PRODIGALS BEGINS TO TAKE PLACE IN THE SEASON AHEAD,…I SAY WATCH AS MY SEVEN SPIRIT WINDS BLOWS UPON THE MOUNTAIN OF FAMILY TO BRING FORTH RESTORATION AND RESTITUTION TO BROKEN MARRIAGES AND TO HOMES THAT HAVE BEEN TORN APART AND DESTROYED BY THE HAND OF THE DEVOURER,..FOR THAT WHICH THE ENEMY STOLE ON THIS MOUNTAIN SHALL BE FULLY REDEEMED AND RECOVERED,..  …AND TO THE MOUNTAIN OF EDUCATION…WHO DO YOU THINK YOU ARE,…YOUR ARROGANCE AND YOUR PRIDE HAS COME UP BEFORE ME AS A STENCH IN MY NOSTRILS,..HAVE I NOT SAID WOE TO ANYONE THAT CAUSES THE LITTLE ONES WHO BELIEVE IN ME TO STUMBLE,..FOR IT WOULD BE BETTER FOR THEM TO HAVE A LARGE MILLSTONE HUNG AROUND THEIR NECK AND TO BE DROWNED IN THE DEPTHS OF THE SEA..?..WATCH AS MY SEVEN SPIRIT WINDS BLOWS FORTH UPON THIS MOUNTAIN TO SCATTER THE SCOFFERS AND THE MOCKERS THAT HAVE TAKEN MY WORD AND REPLACED IT WITH A WOKE ANTICHRIST THEOLOGY THAT TEACHES THAT THERE ARE MANY PATHS THAT LEAD TO GOD AND MANY ROADS THAT LEAD TO LIFE AND LIGHT,…WATCH AS MY SEVEN SPIRIT WHIRLWIND COMES TO UPROOT AND TEARDOWN YOUR DEMONIC IDEOLOGIES AND SATANIC MAN MADE INSTITUTIONS THAT HAVE SOUGHT TO BRAINWASH THE INNOCENT AND THE VULNERABLE IN THE MIDST OF YOU,…WATCH AS I RAISE UP RADICAL KINGDOM REFORMERS ON THE MOUNTAIN OF EDUCATION WHICH WILL IGNITE A REVOLUTION FOR TRUTH AND JUSTICE THAT WILL IMPACT AND INFLUENCE A NEW GENERATION FOR KINGDOM ADVANCEMENT IN THE NATIONS OF THE EARTH…  …AND TO THE MOUNTAIN OF BUSINESS…WATCH AS THE HOT WINDS OF MY SPIRIT BLOWS FORTH UPON THE LANDSCAPE OF THIS MOUNTAIN TO BURN AND TO SCORCH,…TO RECONSTRUCT AND TO REBUILD FOR THAT WHICH HAS BEEN BUILT BY THE HANDS OF MAN ON A FOUNDATION OF GREED, LUST AND PRIDE SHALL BE DEMOLISHED,…YES !…WATCH! FOR MY SEVEN SPIRIT WINDS SHALL BLOW UPON YOUR STOCK MARKETS AND EXCHANGES AND THAT WHICH ONCE BROUGHT ECONOMIC AND FINANCIAL STABILITY TO MANY NATIONS SHALL SUDDENLY COME CRASHING DOWN,..WATCH FOR THE FIREY WINDS OF MY SPIRIT SHALL COME TO PURGE AND TO PURIFY,…YES! TO BURN THE WOOD, HAY AND STUBBLE,…FOR GOLD,..PURE GOLD SHALL COME FORTH FROM THE FIRES OF PURIFICATION AND BECOME THE NEW CURRENCY ON THE MOUNTAIN OF BUSINESS AND FINANCE,…  …AND TO THE MOUNTAIN OF ENTERTAINMENT AND THE ARTS,…I SAY TO YOU WATCH AS THE SPOTLIGHT OF MY GLORY SHINES UPON YOU TO FULLY EXPOSE THE WORKS OF WICKEDNESS AND DARKNESS THAT COVERS YOU LIKE A THICK BLANKET,..FOR YOU HAVE TAKEN THE KNEE TO FALSE IDOLS AND TO THE GODS OF YOUR IMAGINATION AND YOU HAVE EATEN THE FRUITS OF PERVERSION AND DECEPTION,..BUT WATCH FOR I SHALL TURN YOUR STADIUMS INTO ALTARS OF AWAKENING AND REVIVAL FOR AN END-TIME HARVEST OF SOULS,…AND YOU SHALL SEE AND HEAR A NEW SOUND RISING UP WITHIN THE MUSIC INDUSTRY THAT SHALL BREAK OPEN HEAVENLY PORTALS AND GATEWAYS OVER REGIONS AND TERRITORIES THAT WILL AWAKEN NATIONS TO THEIR TRUE IDENTITY AND KINGDOM DESTINY,…WATCH AS MY SEVEN SPIRIT WINDS BLOW FORTH UPON THIS MOUNTAIN TO BRING SUPERNATURAL HEALINGS,…THE WORKINGS OF GREAT MIRACLES,..SIGN S AND WONDERS THROUGH THE POWER OF LIGHT, SOUND AND DIVINE CREATIVITY,…  …WATCH AS MY SEVEN SPIRIT WINDS BLOW FORTH UPON THE SEVEN MOUNTAINS TO TRANSFORM AND REFORM IN THE DAYS AHEAD”…says God.  PS…; For those of you that prefer NO CAPS; See link to Website; https:// www.hiskingdompr ophecy.com/ a-word-to-the-se ven-mountains/",sobering word seven mountains https skeptical annoyed undecided uneasy hesitant heard spirit say watch nations earth stand naked yes naked fully exposed nations earth shall stand holy presence watch mighty winds whirlwind seven spirits shall blow forth upon seven mountains north south east west winds seven spirits shall blow forth upon seven mountains strip scatter scorch sift separate shift listen say mountain government military shall strip filthy stinking garments corruption perversion shall suddenly remove self appointed positions authority power bodies struck illness infirmity minds tormented day night like mad men shall driven fields eat grass like cows shining medals honour given lies falsehoods shall removed revoked mountain media shall brought low lower mountains wat ch lying tongues shall cut mouths spoken words death demonic decrees shall fully established cloud destruction shall darken pathway eyes shall become blind feet shall stumble causi ng fall deep pit despair mountain religion said judgement starts house lord watch seven spirit winds blows forth sift wheat chaff expose reveal wolves dressed sheeps clothing separate goats sheep money tables overturned works deception witchcraft uncovered laid bare eyes men workers iniquity darkened counsel set faces truth knowledge shall swiftly severely dealt stiff necked rebellious shall broken pieces righteous right hand watch cleanse waters spirit purify fires glory mountain family shall see whirlwind spirit elijah coming turn hearts fathers back children hearts children back fathers watch return long lost prodigals begins take place season ahead say watch seven spirit winds blows upon mountain family bring forth restoration restitution broken marriages homes torn apart destroyed hand devourer enemy stole mountain shall fully redeemed recovered mountain education think arrogance pride come stench nostrils said woe anyone causes little ones believe stumble would better large millstone hung around neck drowned depths sea watch seven spirit winds blows forth upon mountain scatter scoffers mockers taken word replaced politically informed antichrist theology teaches many paths lead god many roads lead life light watch seven spirit whirlwind comes uproot teardown demonic ideologies satanic man made institutions sought brainwash innocent vulnerable midst watch raise radical kingdom reformers mountain education ignite revolution truth justice impact influence new generation kingdom advancement nations earth mountain business watch hot winds spirit blows forth upon landscape mountain burn scorch reconstruct rebuild built hands man foundation greed lust pride shall demolished yes watch seven spirit winds shall blow upon stock markets exchanges brought economic financial stability many nations shall suddenly come crashing watch firey winds spirit shall come purge purify yes burn wood hay stubble gold pure gold shall come forth fires purification become new currency mountain business finance mountain entertainment arts say watch spotlight glory shines upon fully expose works wickedness darkness covers like thick blanket taken knee false idols gods imagination eaten fruits perversion deception watch shall turn stadiums altars awakening revival harvest souls shall see hear new sound rising within music industry shall break open heavenly portals gateways regions territories awaken nations true identity kingdom destiny watch seven spirit winds blow forth upon mountain bring supernatural healings workings great miracles sign wonders power light sound divine creativity watch seven spirit winds blow forth upon seven mountains transform reform days ahead says god leader of the opposition prefer caps see link web page https skeptical annoyed undecided uneasy hesitant,1
Thank you for the fight.,thank fight,1
A very big thank you to Iris and team and M Ravi for this very necessary and brave initiative! May the Almighty guide you every step of the way till justice is served and our human dignity restored.,big thank iris team ravi necessary brave initiative may almighty guide every step way till justice served human dignity restored,1
85% vs 10% How did things end up like this!?  Can some VIP step up to hold talks for MOH and these groups to gather and discuss instead of going to Courts?  Really sad as both groups are Singapore Citizens but everyone like needs to take side and make an important decisions but so many different sets of facts!  https:// www.facebook.com / 105265525229950/ posts/ 129930059430163/,vs things end like vip step hold talks ministry of health groups gather discuss instead going courts really sad groups singapore citizens everyone like needs take side make important decisions many different sets facts https skeptical annoyed undecided uneasy hesitant posts,1
Steady bom pipi!!!,positive bom pipi,1
So much courage! May the force be with you.,much courage may force,1
She isn't just fighting for the 15% unvaccinated. She is fighting for everyones freedom. The 3rd booster shot is upon us and will soon be mandatory when the 2nd shot expires. They need our utmost support.,fighting unvaccinated fighting everyone freedom booster shot upon us soon mandatory shot expires need utmost support,1
"My friend Greg made this video. A good one to watch. Soon the vaccinated will be just like the unvaccinated, if they refuse to go for continuous booster jabs…  https:// www.facebook.com /519535201/ posts/ 1015937560692520 2/?d=n",friend greg made video good one watch soon vaccinated like unvaccinated refuse go continuous booster jabs https skeptical annoyed undecided uneasy hesitant posts n,1
Those guilty of commiting crime against humanity is finished.... the truth always prevails and nothing is above the law of justice.. because absolute power corrupts,guilty commiting crime humanity finished truth always prevails nothing law justice absolute power corrupts,1
May God be with both of these 2 brave warriors and keep them in the palm of His Hand. No weapon shall be formed against them. In the name of Jesus. Amen.,may god brave warriors keep palm hand weapon shall formed name jesus amen,1
"Compared to Nagaentharan's case in which nobody took the heroine and no deaths caused, yet he was sentenced to hang.....",compared case nobody took heroine deaths caused yet sentenced hang,1
Thank you Iris. God Bless you and your family abundantly & God bless Ravi too. Thank you for standing up for truth & justice.,thank iris god bless family abundantly god bless ravi thank standing truth justice,1
是的，作为一个开放国家，政府不 可以这么做，反人权！反人道！人 跟动物的区别就是可以有选择的自 由！这个政府把人民的自由剥夺掉 ，让我非常非常失望！在我绝望为 什么新加坡人没有人敢站出来的时 候，看到了你们，让我重新拥有希 望，谢谢Iris和M.Ravi 的付出，谢谢你们的勇敢和正义！ 加油！为了我们自己和在这片土地 上的下一代！🌹,是的 作为一个开放国家 政府不 可以这么做 反人权 反人道 人 跟动物的区别就是可以有选择的自 由 这个政府把人民的自由剥夺掉 让我非常非常失望 在我绝望为 什么新加坡人没有人敢站出来的时 候 看到了你们 让我重新拥有希 望 谢谢iris和m ravi 的付出 谢谢你们的勇敢和正义 加油 为了我们自己和在这片土地 上的下一代 rose,1
Derek Loui,derek loui,1
https:// rumble.com/ vp9jja-biden-vax -mandate-for-pr ivate-sector-ha lted.html,https skeptical annoyed undecided uneasy hesitant,0
Grateful thanks to Iris and Ravi for fighting for our personal freedoms and standing up to this medical tyranny.,grateful thanks iris ravi fighting personal freedoms standing medical tyranny,1
Healing the Divide you must get more people in here ..there are lots of those who are unvaccinated Middled aged to elderly even some young adults and most are due to underlying health conditions and sensitivities that they have managed for years and not wanting to further aggravate their conditions with this uninsured possible risk vaccine.  As far as I'm concerned as long as there is risk there must be choice..,healing divide must get people lots unvaccinated middled aged elderly even young adults due underlying health conditions sensitivities managed years wanting aggravate conditions uninsured possible risk vaccine far concerned long risk must choice,1
https:// youtu.be/ n4RjJKxsamQ,https skeptical annoyed undecided uneasy hesitant,0
https:// youtu.be/ AOAdIYxvSYU,https skeptical annoyed undecided uneasy hesitant aoadiyxvsyu,0
Thanks all those which involved in the great job. Bravo's.,thanks involved great job,1
"Now many countries realise that for covid19 Pandemic, certain mandatory actions must be taken seriously. US government now requires all their government staff need to be vaccinated or face losing their jobs. Eateries in Australia and Europe only allow vaccinated patrons entering their premises. Do they violate human right ? Singapore is no different from others. Since we had elected this government which is doing reasonably good job, don't pin them too hard.",many countries realise covid pandemic certain mandatory actions must taken seriously us government requires government staff need vaccinated face losing jobs eateries australia europe allow vaccinated patrons entering premises violate human right singapore different others since elected government reasonably good job pin hard,1
Thank you to Iris and Ravi and the people with them… And bless all you guys who spread awareness on the unknown side of covid vaccine.,thank iris ravi people bless guys spread awareness unknown side covid vaccine,1
Hold the line good people. The dominoes are falling. 9 countries have requested an isolated strand of Covid for analysis and not one health official can provide it. The Spanish High Court ruled yesterday that COVID does not exist. The second such court to do so 🙏,hold line good people dominoes falling countries requested isolated strand covid analysis one health official provide spanish high court ruled yesterday covid exist second court folded hands,1
"Born free as free as wind blow. Thanks to both of you, A lion City needs a lion Heart a true and brave . A lion roar can be heard from a distance Justice and Equality.",born free free wind blow thanks lion city needs lion heart true brave lion roar heard distance justice equality,1
Thank you Iris and Ravi for all this! May God be with you both and help you both triumph over the evil.,thank iris ravi may god help triumph evil,1
https:// www.todayonline. com/singapore/ covid-19-entry-r estrictions-aga inst-unvaccinat ed-people-more- places-includin g-libraries,https skeptical annoyed undecided uneasy hesitant com singapore covid,0
"Please circulate, thanks!",please circulate thanks,1
"Please share, thanks!",please share thanks,1
Elaine Goh,elaine goh,1
Thank you n we will take back Singapore from the tyrants! Singapore belongs to Singaporeans n not the wicked authorities.,thank n take back singapore tyrants singapore belongs singapore citizens n wicked authorities,1
Let us heal the divide with this. ✨,let us heal divide sparkles,1
Full testimonials from Pfizer vax trial victims and many others on the fraud. https:// rumble.com/ vokrf7-sen.-john son-expert-pane l-on-federal-va ccine-mandates. html,full testimonials pfizer vax trial victims many others fraud https skeptical annoyed undecided uneasy hesitant vokrf sen john html,1
Thank you Ravi and Iris. Full support. God bless.,thank ravi iris full support god bless,1
Thank you Iris Koh and M Ravi MRavi for helping 🙏🏻,thank iris koh ravi mravi helping folded hands light skin tone,1
Yes! Praise God for you guys!,yes praise god guys,1
Why let the government decide my health?,let government decide health,1
Thank you so much for all that you are doing,thank much,1
It's amazing to see there are some to stand up for cause of human rights within the dictatorial regime. Hope the justice system here is not with blind eyes,amazing see stand human rights within dictatorial regime hope justice system blind eyes,1
Hallelujah ! Praise the Lord. God is in control. Satan n his followers will be driven underground into their bottomless pits of hellfire.,hallelujah praise lord god control satan n followers driven underground bottomless pits hellfire,1
Another petition required for medical dictatorship which full of lies on the name of treatment. My family being unvaccinated and have Covid with symptoms and it does not requires to rely on treatment by fools of medical science and we are recovering without their consultation or any drugs meaning they are denying education to people for alternative treatment,another petition required medical dictatorship full lies name treatment family unvaccinated covid symptoms requires rely treatment fools medical science recovering without consultation drugs meaning denying education people alternative treatment,1
thank you!,thank,1
Thank you Iris Koh and Ravi MRavi .,thank iris koh ravi mravi,1
Thank you 🥰,thank smiling face hearts,1
Thank you Iris Koh and M Ravi.....where are the opposition parties?😴,thank iris koh ravi opposition parties sleeping face,1
Yes! 🙏🙏🙏 Thank you Iris and M Ravi . God will bless us all in seeking the truth,yes folded hands folded hands folded hands thank iris ravi god bless us seeking truth,1
My deepest thanks that I can muster to both of you for picking this up. Bless that both of you are completely protected by the universe. 🙏,deepest thanks muster picking bless completely protected universe folded hands,1
Thank you for doing this. 🙏 Many of us are with you. The truth and justice will prevail! Freedom over force.,thank folded hands many us truth justice prevail freedom force,1
Thank you and praying for you guys!,thank praying guys,1
Thank you Iris & Ravi for standing up for all Singaporeans! May the lord continue to bless and watch over you both.,thank iris ravi standing singapore citizens may lord continue bless watch,1
Thank you 🙏 These words are too small for our gratitude to what you guys are doing.,thank folded hands words small gratitude guys,1
Ming Chuen,ming chuen,1
Thank you so much for your empathy and whole hearted kind support given to those whose lifes are much affected by the differentating and dividing measures.  Those not affected by these perpetual tightening measures may not understand the difficulty and hurt these measures have been.  Citizens have no one to turn to when the Gov is the one who is driving these hurtful measures.  I hope all Singaporeans will realise this and treat you kindly as much as you have been very kind to our fellow citizens in need.,thank much empathy whole hearted kind support given whose lifes much affected differentating dividing measures affected perpetual tightening measures may understand difficulty hurt measures citizens one turn government one driving hurtful measures hope singapore citizens realise treat kindly much kind fellow citizens need,1
Top fan Elim Lim,top fan elim lim,1
So grateful to Ms Iris Koh...we vote and support her for the next coming general elections as our prime minister and kick out our useless undeserving criminal current minister.. 🙏,grateful ms iris koh vote support next coming general elections prime minister kick useless undeserving criminal current minister folded hands,1
It’s no fault of yours . Thank you for standing up for people who are in need . Very thankful for what u and your teams are doing! 👍🙏👏,fault thank standing people need thankful teams thumbs folded hands clapping hands,1
I really cannot understand the logic of this vax v unvax differentiation . Vax and unvax should be the choice rather than an order. Sad this happened in Singapore this democratic country.,really cannot understand logic vax v unvax differentiation vax unvax choice rather order sad happened singapore democratic country,0
Thank you for being the voice for those that come to you for help.,thank voice come help,1
Thank you for being brave and fighting for us......not an easy task..,thank brave fighting us easy task,1
Thank you for your work Iris! But for you I would lose hope in humanity in Singapore. Luckily I was just an expat and just left but these inhumane circumstances causes so much stress. I wish you good luck in your work!,thank work iris would lose hope humanity singapore luckily expat left inhumane circumstances causes much stress wish good luck work,1
Yes we should love one another🧚‍♀️,yes love one another,1
Forwarded,forwarded,1
