,content_type,id,text,time,type,label
10,Comment,b'gAAAAABjLvrboFu9ovkgSleAytUtqvvGuFx6XN2Z8KxRR1lMctfU0m_F6f8EtOZVhGYrnR-MRzm4Cs27vjT6docad_7Gs7nBeO00yaifspYgMl8KLJFjHW8=',"80% of vaccinated ppl got cheated ....they rush to take e snake oil MRNA vaccine hoping all will be ok....but now aft 80% vaccinated e covid cases are worse thn b4 vaccine....nw e vaccinated ppl are askin ....if e vaccine reli giv protection? aft vaccine still need to wear mask? and now ppl are urge to take booster shots? thn why e hell ppl are force to take e 2 snake oil MRNA vaccines, whn it does not give protection? So how mny booster shots mus e public take to get our life back to normal? Wats goin on?",2021-11-24 18:53:13,comment,Vaccines_Ineffective
11,Comment,b'gAAAAABjLvrbnAEhxbfivA0IfvXycjDbyQ3zeYKZ1_XNinX9Fs8M9VFd04cuVmTbA5TkEZrCgQSPA1pGFmln_lo0sonkoS2dSWDWjwRUQtnm0KvUs3G4SZc=',1. In 2015 bill gates went to TEDTALK and talk about future pandemic and how the world shld prepare for e nxt pandemic...and 2020 we hav a pandemic? 2. In 2017 Dr fauci ( dr death) said confidently there will be pandemic outbreak in e trump administration. ...and 2020 we hav a pandemic? 3. In 2019 november there was pandemic simultion exercise called (EVENT201) sponsored by bill gates.....and in 2020 we have a real pandemic....wow so many coincidence? Or was all tis planned years ago..? This is not a pandemic but is a PLANDEMIC....it was plan to happen....,2021-11-24 18:53:13,comment,Conspiracy_VirusOrigins
12,Comment,b'gAAAAABjLvrbF-poL2z2sAjPazqBVl82zB_Iiz3BzpaRvGtK8OnxL7-xmrut6Kn1Uzj0RPoE420c524oo1NEgUb71CHHtEqbwgDtTf-VI89pIt2ZayAYVDM=',"Talk so mch abt endemic....but we are worse off thn last year. Last year 90% case were frm domitories....m ost were quraninte for 2 weeks n recovered jus like if a person gets a flu virus....hopita ls also were not over crowded or no one in ICU so foreigners hav better immune system thn us? Even though they live cluster togetr n not so good living condition....fa st forward aft 18 mths and 80% vaccinated now e cases are worse thn last year? Any one wit logic can easily see e b4 and after effect of tis covid vaccine. Is it really efrective? 1st say e vaccine will prevent e spread of covid....but it did not,... 2nd say e vaccine will help to protect us frm severe illness....nvr say wat illness.... but also it did not protect us, now e 3rd pattern is vaccine will not over crowd e hospitals? wats goin on? So who is over crowding e hospitals...e vaccinated or unvaccinated? If 80% are already vaccinated....h ow can e 20% be e cause of the over crowd in hospitals or e increase in covid cases right now? It defies all logic....",2021-11-24 18:53:14,comment,Vaccines_Ineffective
13,Comment,b'gAAAAABjLvrbnu2dnybg3obsP3uoiIq6KPzSycyvIGh_MC5kflLnqLioP8bsQybu5E1NiCo4QqJfDRLiIn8JUtiOu4YxNzxHAIT2T51C23s4_vwFrzoH4h8=',疯子找疯子。,2021-11-24 18:53:14,comment,Others
14,Comment,b'gAAAAABjLvrbktptv-7IpSynmfSuaf-5xa56VaeMSXo5kmxlfGHfekN1CBYTwtjwfqXX8bifziQSUpE8My2vHGsu9dKzCpvoRoy-TZQFM2WTq7SJJeRVDic=',https:// twitter.com/ barnes_law/ status/ 1465410844628426 752?t=6AcgQhgBO PKHw5UGEjpEDw&s =19,2021-12-01 18:53:15,comment,Vaccines_HealthRisk
15,Comment,b'gAAAAABjLvrbJLzIKoovd8W0C_A86aUVrI2BcMCwoisIo4KoMRpc6o-n92LXTK4t6wQIxZVIH2VmYkUlfa6NOd04ZlmWRssFLnTA1O-hLhoTwcJxPJY97s8=',Not being a party pooper but he does realize there is no legal precedent for this? Other similar actions brought in other commonwealth countries have been shot down.,2021-12-01 18:53:15,comment,Complaints
16,Comment,b'gAAAAABjLvrb7GiEJbcCylHqW20O5-hOX4PTUpZN9RqJVMj2AWC1zJki-WLIa9ybK1yzkpgAhw-Za9YbpgppSGhy58v1V7m_ohcPEOZcT27htv6LfVazGq0=',https:// elijahlist.com/ words/ display_word.htm l?ID=26486,2021-12-01 18:53:15,comment,Others
17,Comment,b'gAAAAABjLvrbpSM5xGbRmYDA_p9yRbN0dZpQDbLnxQtAnQLm3T5qEVI8EMIfWgQ80x38OdhmQwaPKxQ7NhyNzDwI-WM0SA97EQznujs_K5IsbMJ0oPgDYek=',Pam Cheong Cheong,2021-12-01 18:53:15,comment,Others
18,Comment,b'gAAAAABjLvrb_uKkFeCn3LR2lvMrf-ZAQpbn0C6P9-OVBfUVxNY4HDnKuwXR9bsjF2o7teblbaMdxP7H9Evm-8WCr4dTxPlQ0HKCF6Oo2mdMtvc3Y5xc5lc=',Healing the Divide  Now Iris is the target of PAP group  Read the page here  https:// www.facebook.com / 429697574435976/ posts/ 1160193421386384 /,2021-12-01 18:53:15,comment,Others
19,Comment,b'gAAAAABjLvrb2wgFttx9GvXNcnJMZjI0fP7sl-EnXGB-fNDE3uL6gTt3YV0Ze0joT9kzoIVbmNOQl5B34M64ZT5TQCuDyxDtUFmxWwETfi5ZV4K3ZVZUG-Y=',https:// www.forbes.com/ sites/joewalsh/ 2021/11/30/ judge-halts-bide ns-covid-vaccin e-mandate-for-h ealthcare-worke rs-nationwide/ amp/,2021-12-01 00:00:00,comment,Vaccines_Ineffective
20,Comment,b'gAAAAABjLvrbx7gcbEL9cKBIMI4doD3oU3Ui7NriEZi_SrgXcNXNvCiDyLTJMLrEUVxpj1Bys3NuzCGoBl3K8OzymDFW7T8a3TThtx_mbecZYr5KYcXJfU0=',"LOL this is truly a match made in heaven. The crazy anti-vaxxers truly deserve this fella, vice versa.",2021-12-03 00:00:00,comment,Vaccines_HealthRisk
21,Comment,b'gAAAAABjLvrb8pR8uRnMk_OibbVq2esLHhYH3CqLKqy6gLzQHnxJU592YUfKrPjr-kvzjcUBWtZ6QtmOeGWWF94pqWBQw20xJlP12oHm2RlrgGI8A7iSFc8=',They are Not anti vaxxers. They are anti coercion.,2021-12-05 00:00:00,comment,Vaccines_Ineffective
22,Comment,b'gAAAAABjLvrbaxFmSpGVT5n0f4JIMzJbAySW8FvdrM_7cZ1icZYzlXTGdxavNxIiFhGdFMI9e7WNJ2YNoRYnRJtaESImMFueAg8w65b5zNUh720oWWH-TAU=',Immuno-Erosion  https:// www.bitchute.com /video/ Hg1icQucDGc5/,2021-12-05 00:00:00,comment,Vaccines_HealthRisk
23,Comment,b'gAAAAABjLvrb2r4fzkkXMD4SNN2ohatANJ0MoyKS5olMFZuVNOerHW-D1d5HGpmH7fdW2n5b8-BxpKePp0a4z0zVcBEtcXZR0j3ZwI4-z6V1LWrbEZQNJL0=',https:// youtu.be/ nwVr2ln_030,2021-12-06 00:00:00,comment,Vaccines_HealthRisk
24,Comment,b'gAAAAABjLvrbnj6V2hVwAkvMx2SgQNP7lmXuSyK6eKZC6yPyt-3muA4wqUnxjjAFxqJPJO85G1VOgqe7ASrrlYxfxnQVudf2mOdwFdrCZCEVLMYugXlZaoQ=',"At end of video through Robin Father God says Now its Lifting of heads, Games Over https:// www.facebook.com / 204961229556578/ posts/ 5031102876942365 /",2021-12-07 04:37:00,comment,Others
25,Comment,b'gAAAAABjLvrbc7oOLz9i6PeJr7DWzCNdEBAm3QA-liMkZtdO1Q0r3OkrFpc0DNBfk9WJoLqhpRnjOkH8uaqxBfN7lThVs0lsrF1DyWHnXIXiy01B78H8HVs=',"A SOBERING WORD TO THE SEVEN MOUNTAINS….; https:// www.hiskingdompr ophecy.com/ a-word-to-the-se ven-mountains/  I heard the Spirit say,…”WATCH FOR I WILL HAVE THE NATIONS OF THE EARTH STAND NAKED BEFORE ME,..YES NAKED!..AND FULLY EXPOSED THE NATIONS OF THE EARTH SHALL STAND BEFORE MY HOLY PRESENCE,…WATCH FOR THE MIGHTY WINDS OF THE WHIRLWIND OF MY SEVEN SPIRITS SHALL BLOW FORTH UPON THE SEVEN MOUNTAINS,…FROM THE NORTH SOUTH, EAST AND WEST THE WINDS OF MY SEVEN SPIRITS SHALL BLOW FORTH UPON THE SEVEN MOUNTAINS TO STRIP, TO SCATTER, TO SCORCH, TO SIFT, TO SEPARATE AND TO SHIFT,…  LISTEN! FOR I SAY TO THE MOUNTAIN OF GOVERNMENT AND TO THE MILITARY I SHALL STRIP OFF YOUR FILTHY AND STINKING GARMENTS OF CORRUPTION AND PERVERSION,..AN D I SHALL SUDDENLY REMOVE YOU FROM YOUR SELF APPOINTED POSITIONS OF AUTHORITY AND POWER,..AND YOUR BODIES WILL BE STRUCK WITH ILLNESS AND INFIRMITY AND YOUR MINDS WILL BE TORMENTED DAY AND NIGHT,..AND LIKE MAD MEN YOU SHALL BE DRIVEN OUT INTO THE FIELDS TO EAT GRASS LIKE COWS,..AND YOUR SHINING MEDALS OF HONOUR THAT HAVE BEEN GIVEN TO YOU THROUGH LIES AND FALSEHOODS SHALL BE REMOVED AND REVOKED,…  …AND TO THE MOUNTAIN OF MEDIA YOU SHALL BE BROUGHT DOWN LOW,…LOWER THAN ALL THE OTHER MOUNTAINS,..WAT CH FOR YOUR LYING TONGUES SHALL BE CUT OUT OF YOUR MOUTHS AND YOUR SPOKEN WORDS OF DEATH AND DEMONIC DECREES SHALL NOW BE FULLY ESTABLISHED AND A CLOUD OF DESTRUCTION SHALL DARKEN YOUR PATHWAY AND YOUR EYES SHALL BECOME BLIND,..AND YOUR FEET SHALL STUMBLE,..CAUSI NG YOU TO FALL INTO A DEEP PIT OF DESPAIR,…  …AND TO THE MOUNTAIN OF RELIGION...HAVE I NOT SAID THAT JUDGEMENT STARTS IN THE HOUSE OF THE LORD,..WATCH AS MY SEVEN SPIRIT WINDS BLOWS FORTH TO SIFT THE WHEAT FROM THE CHAFF,..TO EXPOSE AND REVEAL THE WOLVES DRESSED IN SHEEPS CLOTHING,..AND TO SEPARATE THE GOATS FROM THE SHEEP,…FOR YOUR MONEY TABLES WILL BE OVERTURNED AND YOUR WORKS OF DECEPTION AND WITCHCRAFT WILL BE UNCOVERED AND LAID BARE BEFORE THE EYES OF MEN,…AND YOU WORKERS OF INIQUITY WHO HAVE DARKENED COUNSEL AND SET YOUR FACES AGAINST MY TRUTH AND MY KNOWLEDGE,…YOU SHALL BE SWIFTLY AND SEVERELY DEALT WITH,…AND TO YOU WHO ARE STIFF NECKED AND REBELLIOUS,…YOU SHALL BE BROKEN TO PIECES BY MY RIGHTEOUS RIGHT HAND,..WATCH FOR I WILL CLEANSE BY THE WATERS OF MY SPIRIT AND PURIFY BY THE FIRES OF MY GLORY,…  …AND TO THE MOUNTAIN OF FAMILY YOU SHALL SEE THE WHIRLWIND OF THE SPIRIT OF ELIJAH COMING TO TURN THE HEARTS OF THE FATHERS BACK TO THE CHILDREN AND THE HEARTS OF THE CHILDREN BACK TO THE FATHERS,..WATCH AS THE RETURN OF THE LONG LOST PRODIGALS BEGINS TO TAKE PLACE IN THE SEASON AHEAD,…I SAY WATCH AS MY SEVEN SPIRIT WINDS BLOWS UPON THE MOUNTAIN OF FAMILY TO BRING FORTH RESTORATION AND RESTITUTION TO BROKEN MARRIAGES AND TO HOMES THAT HAVE BEEN TORN APART AND DESTROYED BY THE HAND OF THE DEVOURER,..FOR THAT WHICH THE ENEMY STOLE ON THIS MOUNTAIN SHALL BE FULLY REDEEMED AND RECOVERED,..  …AND TO THE MOUNTAIN OF EDUCATION…WHO DO YOU THINK YOU ARE,…YOUR ARROGANCE AND YOUR PRIDE HAS COME UP BEFORE ME AS A STENCH IN MY NOSTRILS,..HAVE I NOT SAID WOE TO ANYONE THAT CAUSES THE LITTLE ONES WHO BELIEVE IN ME TO STUMBLE,..FOR IT WOULD BE BETTER FOR THEM TO HAVE A LARGE MILLSTONE HUNG AROUND THEIR NECK AND TO BE DROWNED IN THE DEPTHS OF THE SEA..?..WATCH AS MY SEVEN SPIRIT WINDS BLOWS FORTH UPON THIS MOUNTAIN TO SCATTER THE SCOFFERS AND THE MOCKERS THAT HAVE TAKEN MY WORD AND REPLACED IT WITH A WOKE ANTICHRIST THEOLOGY THAT TEACHES THAT THERE ARE MANY PATHS THAT LEAD TO GOD AND MANY ROADS THAT LEAD TO LIFE AND LIGHT,…WATCH AS MY SEVEN SPIRIT WHIRLWIND COMES TO UPROOT AND TEARDOWN YOUR DEMONIC IDEOLOGIES AND SATANIC MAN MADE INSTITUTIONS THAT HAVE SOUGHT TO BRAINWASH THE INNOCENT AND THE VULNERABLE IN THE MIDST OF YOU,…WATCH AS I RAISE UP RADICAL KINGDOM REFORMERS ON THE MOUNTAIN OF EDUCATION WHICH WILL IGNITE A REVOLUTION FOR TRUTH AND JUSTICE THAT WILL IMPACT AND INFLUENCE A NEW GENERATION FOR KINGDOM ADVANCEMENT IN THE NATIONS OF THE EARTH…  …AND TO THE MOUNTAIN OF BUSINESS…WATCH AS THE HOT WINDS OF MY SPIRIT BLOWS FORTH UPON THE LANDSCAPE OF THIS MOUNTAIN TO BURN AND TO SCORCH,…TO RECONSTRUCT AND TO REBUILD FOR THAT WHICH HAS BEEN BUILT BY THE HANDS OF MAN ON A FOUNDATION OF GREED, LUST AND PRIDE SHALL BE DEMOLISHED,…YES !…WATCH! FOR MY SEVEN SPIRIT WINDS SHALL BLOW UPON YOUR STOCK MARKETS AND EXCHANGES AND THAT WHICH ONCE BROUGHT ECONOMIC AND FINANCIAL STABILITY TO MANY NATIONS SHALL SUDDENLY COME CRASHING DOWN,..WATCH FOR THE FIREY WINDS OF MY SPIRIT SHALL COME TO PURGE AND TO PURIFY,…YES! TO BURN THE WOOD, HAY AND STUBBLE,…FOR GOLD,..PURE GOLD SHALL COME FORTH FROM THE FIRES OF PURIFICATION AND BECOME THE NEW CURRENCY ON THE MOUNTAIN OF BUSINESS AND FINANCE,…  …AND TO THE MOUNTAIN OF ENTERTAINMENT AND THE ARTS,…I SAY TO YOU WATCH AS THE SPOTLIGHT OF MY GLORY SHINES UPON YOU TO FULLY EXPOSE THE WORKS OF WICKEDNESS AND DARKNESS THAT COVERS YOU LIKE A THICK BLANKET,..FOR YOU HAVE TAKEN THE KNEE TO FALSE IDOLS AND TO THE GODS OF YOUR IMAGINATION AND YOU HAVE EATEN THE FRUITS OF PERVERSION AND DECEPTION,..BUT WATCH FOR I SHALL TURN YOUR STADIUMS INTO ALTARS OF AWAKENING AND REVIVAL FOR AN END-TIME HARVEST OF SOULS,…AND YOU SHALL SEE AND HEAR A NEW SOUND RISING UP WITHIN THE MUSIC INDUSTRY THAT SHALL BREAK OPEN HEAVENLY PORTALS AND GATEWAYS OVER REGIONS AND TERRITORIES THAT WILL AWAKEN NATIONS TO THEIR TRUE IDENTITY AND KINGDOM DESTINY,…WATCH AS MY SEVEN SPIRIT WINDS BLOW FORTH UPON THIS MOUNTAIN TO BRING SUPERNATURAL HEALINGS,…THE WORKINGS OF GREAT MIRACLES,..SIGN S AND WONDERS THROUGH THE POWER OF LIGHT, SOUND AND DIVINE CREATIVITY,…  …WATCH AS MY SEVEN SPIRIT WINDS BLOW FORTH UPON THE SEVEN MOUNTAINS TO TRANSFORM AND REFORM IN THE DAYS AHEAD”…says God.  PS…; For those of you that prefer NO CAPS; See link to Website; https:// www.hiskingdompr ophecy.com/ a-word-to-the-se ven-mountains/",2021-12-08 10:53:16,comment,AlternativeCures
26,Comment,b'gAAAAABjLvrbUjHCDI2qKf4IU2HPUjroyXNhovKjIq37iTEULyo5MZeQPQ336l2x5FYQEU3Lq_IA0juY-mDeg6SNm7tfPbQErcIj7EEZ8bkyJgAfNCOExeo=',Thank you for the fight.,2021-11-17 18:53:17,comment,Compliments
27,Comment,b'gAAAAABjLvrbHo5Kz4DN-iQVhJF-Vk-aZ6-wPQmxEDJ66BWAqod8uSLn2ED4H7j17YoLP10qgjmhgyC48H3RZQdaHggQZs2hSgOQdPIIq_d0sx8ksYVAvBA=',A very big thank you to Iris and team and M Ravi for this very necessary and brave initiative! May the Almighty guide you every step of the way till justice is served and our human dignity restored.,2021-11-17 18:53:17,comment,Compliments
28,Comment,b'gAAAAABjLvrbkF0YN4inTWRSS-m6TZHydOMLcFUEWPYiSn9CErzzqLPGWqALMXoFz40khb0v55L0VRwqp2Je007LqLPI_UcB7Mf7QSC3V_L0Gc57Pnv-iGc=',85% vs 10% How did things end up like this!?  Can some VIP step up to hold talks for MOH and these groups to gather and discuss instead of going to Courts?  Really sad as both groups are Singapore Citizens but everyone like needs to take side and make an important decisions but so many different sets of facts!  https:// www.facebook.com / 105265525229950/ posts/ 129930059430163/,2021-11-17 00:00:00,comment,Complaints
29,Comment,b'gAAAAABjLvrbEk_LQP1K4KjFoD484u9c3ND48Y7OZma7HefvE_0-1jfTItUAQbugpXBdqowsaBkgRhnhi4rb272-lHxJ8XBDW4-gqDaB6-u5LiZOX_lGRWQ=',Steady bom pipi!!!,2021-11-17 18:53:18,comment,Compliments
30,Comment,b'gAAAAABjLvrbKuXDAThIUMlxMFQMeFtH15SPy9QqnfOQBfyM8QiDeBf9OB4gft5g7MSUe2epX_u0sAwos73SNowabG4m-poRC4Fvm7ZtlRmI6BSv1IJbfDY=',So much courage! May the force be with you.,2021-11-17 18:53:18,comment,Compliments
31,Comment,b'gAAAAABjLvrbrNpFgi4nahAtkwKdQ_yl_upbmM3xj1zy4NAeIQbpqAfCgiVcOmri5eBQOihoRrhwhxMeAmKxanKDDK7jfS2jsVhZPgXA97J5FLL88ywABQg=',She isn't just fighting for the 15% unvaccinated. She is fighting for everyones freedom. The 3rd booster shot is upon us and will soon be mandatory when the 2nd shot expires. They need our utmost support.,2021-11-17 18:53:19,comment,Complaints
32,Comment,b'gAAAAABjLvrbW0pJ_oUxvJirNXbkteqUkwy3PjWdLD4VKKK4kMeYwlgYVKCPCNTXokmh92ro1uyhPAWLEL26BeIAq2gGESTI8yPOQEgYd98_l_FxsPNGvo8=',"My friend Greg made this video. A good one to watch. Soon the vaccinated will be just like the unvaccinated, if they refuse to go for continuous booster jabs…  https:// www.facebook.com /519535201/ posts/ 1015937560692520 2/?d=n",2021-11-17 18:53:19,comment,Vaccines_Ineffective
33,Comment,b'gAAAAABjLvrbHbvhTAVyE2OJDBcFtk2GDPDEKoyN2RgLVUOxgSvsVHxHl-Fek-Rl0-HPsyUwfdvBcAU7_SnFCaIpGlKDo1L2CFLsAB2TgCPepngl9TqoGlc=',Those guilty of commiting crime against humanity is finished.... the truth always prevails and nothing is above the law of justice.. because absolute power corrupts,2021-11-17 18:53:20,comment,Conspiracy_ConcealingTruth
34,Comment,b'gAAAAABjLvrbdYjR_DpqpC8Z24FDt3DONGxXTeMQtDCZIWQ7UWs3pkQolsSSZI_YuIkXTzlkFmU4cnkfe0sm8IZOO2LNqEfBTxU7mEP-YPAZ8Z9YeAdAS44=',May God be with both of these 2 brave warriors and keep them in the palm of His Hand. No weapon shall be formed against them. In the name of Jesus. Amen.,2021-11-17 18:53:20,comment,Compliments
35,Comment,b'gAAAAABjLvrbNEE_2Canu9emQeDHCVDJ1GxnjMYK0QpkM1ZChdTuUjbA2s9E2f_JO7K7v1i_8Dv4W1vWuhPa5WkvfAofDP4SEyFFyib8gi3T3q50-UBDN2A=',"Compared to Nagaentharan's case in which nobody took the heroine and no deaths caused, yet he was sentenced to hang.....",2021-11-17 18:53:21,comment,Vaccines_HealthRisk
36,Comment,b'gAAAAABjLvrbX1lSqVc66yhQQxpvc6hImEFRTYi_X8olmongHfy-p9uQXyluxYt_sKEhPxT8kWspTnwi1qH3doXGXwMlQYp3WH9pCTyUeq_uYv2moLzZGWQ=',Thank you Iris. God Bless you and your family abundantly & God bless Ravi too. Thank you for standing up for truth & justice.,2021-11-17 18:53:21,comment,Compliments
37,Comment,b'gAAAAABjLvrbVWoNJZoXd8Y1YZDyAm1ZM_7k8faecjZMdf0zBiZ8Gy2Y0UQ_kR5H1vbAXkjnKuB_VjXovQl-qLzQWTngrCinPmqq86zOi5FRvjm_ZQBScG4=',是的，作为一个开放国家，政府不 可以这么做，反人权！反人道！人 跟动物的区别就是可以有选择的自 由！这个政府把人民的自由剥夺掉 ，让我非常非常失望！在我绝望为 什么新加坡人没有人敢站出来的时 候，看到了你们，让我重新拥有希 望，谢谢Iris和M.Ravi 的付出，谢谢你们的勇敢和正义！ 加油！为了我们自己和在这片土地 上的下一代！🌹,2021-11-17 18:53:22,comment,Others
38,Comment,b'gAAAAABjLvrbAx-Ip4eg21L0lRR5a2snjHQcqJR2ozQpSyCi2IbOSKfmLjt3XWsS6vAZkAwzTaX64uq7kK-lOKcHHY9jTo6KBtq2WMVZQb6WsZy1uJOWZys=',Derek Loui,2021-11-17 18:53:22,comment,Others
39,Comment,b'gAAAAABjLvrbxwe_beKfofGgDUV8lzgN5gwjyIX4xBK_LS4RpyW8fGll3wPWO3z6BGTgUUYf5sJ4JeNqSfvmRyuH4VH5Qx0RCOhkQm-w0gqMXe3Su_972oo=',https:// rumble.com/ vp9jja-biden-vax -mandate-for-pr ivate-sector-ha lted.html,2021-11-17 18:53:23,comment,Conspiracy_Control&Manip
40,Comment,b'gAAAAABjLvrbby4gOpbzuht88T5W1bUwVrZ71hbirdqwlZpaiGdWJjXVGQPk5zWV2YCMPvkX3FCPbYlm0TqJSsgXTDSfgNNX4kVpXtgZKcB9UC6B-frgDNg=',Grateful thanks to Iris and Ravi for fighting for our personal freedoms and standing up to this medical tyranny.,2021-11-17 18:53:24,comment,Compliments
41,Comment,b'gAAAAABjLvrbBvd60D4NJ-NjOFCx2jolHZbtge5afL9xMrjp7wnUISYjGfpaEZvqU6jgPImANKKZ3hStoDiZeuK5wATNrymDmVPu6JcNNe9ZN9kIlfuyX_4=',Healing the Divide you must get more people in here ..there are lots of those who are unvaccinated Middled aged to elderly even some young adults and most are due to underlying health conditions and sensitivities that they have managed for years and not wanting to further aggravate their conditions with this uninsured possible risk vaccine.  As far as I'm concerned as long as there is risk there must be choice..,2021-11-17 18:53:24,comment,Vaccines_HealthRisk
42,Comment,b'gAAAAABjLvrb2LgtdwvkFq2Mb7iz04gxA_Y0Mu1B1HKOGirT1EIH4KIQNYN-Dq9sroS8yDfWbOEII-UUmXBjgdXHn3AHnxt6rfCiVprHd0kGxhYh2BLb6x4=',https:// youtu.be/ n4RjJKxsamQ,2021-11-17 18:53:24,comment,Vaccines_HealthRisk
43,Comment,b'gAAAAABjLvrbVEA7lZbFDDfibAfTrf-2M-bJRoC3r0ToeKDXGnnG0AF7FKjsaJpLz3avqOFkidqqFs0MnkIUyh_jy2R2p9OtPC6d0fhBi7S2JyWXgmGbI-k=',https:// youtu.be/ AOAdIYxvSYU,2021-11-17 18:53:24,comment,Vaccines_HealthRisk
44,Comment,b'gAAAAABjLvrbh3McW1fwJJfemSsZNWXhdjaLea-96f4o_cWsMKpLXDGXQni-IwYAlUVSwBu2EQgIYtJGsArvEJr1HXYq1wLcYEyEnQk5wiXmTnbPwlefiK8=',Thanks all those which involved in the great job. Bravo's.,2021-11-17 18:53:25,comment,Compliments
